group,tbid,singleview,singleview-concat,multiview
af-de-nl,de_gsd,87.92,,
af-de-nl,af_afribooms,85.91,,
af-de-nl,nl_lassysmall,89.88,,
af-de-nl,nl_alpino,94.35,,
af-de-nl,nl_alpino,,94.08,
af-de-nl,nl_lassysmall,,90.64,
af-de-nl,de_gsd,,88.35,
af-de-nl,af_afribooms,,85.27,
e-sla,ru_syntagrus,94.07,,
e-sla,ru_taiga,81.17,,
e-sla,uk_iu,93.17,,
en,en_ewt,91.86,,
en,en_lines,88.46,,
en,en_gum,91.97,,
en,en_ewt,,89.05,
en,en_gum,,90.78,
en,en_lines,,86.04,
es-ca,es_ancora,93.07,,
es-ca,ca_ancora,93.50,,
finno,fi_tdt,92.48,,
finno,fi_ftb,93.46,,
finno,sme_giella,0.0,,
finno,et_edt,89.76,,
fr,fr_gsd,95.20,,
fr,fr_spoken,84.62,,
fr,fr_sequoia,94.39,,
indic,ur_udtb,83.17,,
indic,hi_hdtb,93.22,,
iranian,fa_seraji,90.94,,
iranian,kmr_mg,0.0,,
iranian,fa_seraji,,90.97,
iranian,kmr_mg,,0.0,
it,it_postwita,83.29,,
it,it_isdt,93.85,,
ko,ko_gsd,86.33,,
ko,ko_kaist,0.0,,
n-ger,no_bokmaal,0.0,,
n-ger,da_ddt,88.87,,
n-ger,sv_talbanken,0.0,,
n-ger,sv_lines,0.0,,
n-ger,no_nynorsk,0.0,,
n-ger,no_nynorsklia,0.0,,
old,la_perseus,0.0,,
old,grc_proiel,0.0,,
old,got_proiel,0.0,,
old,la_ittb,0.0,,
old,cu_proiel,0.0,,
old,la_proiel,0.0,,
old,grc_perseus,0.0,,
pt-gl,pt_bosque,0.0,,
pt-gl,gl_treegal,0.0,,
pt-gl,gl_ctg,0.0,,
sw-sla,sl_ssj,0.0,,
sw-sla,sl_sst,0.0,,
sw-sla,hr_set,0.0,,
sw-sla,sr_set,0.0,,
turkic,ug_udt,72.24,,
turkic,kk_ktb,0.0,,
turkic,bxr_bdt,0.0,,
turkic,tr_imst,0.0,,
w-sla,sk_snk,94.79,,
w-sla,cs_cac,0.0,,
w-sla,pl_lfg,97.20,,
w-sla,pl_pdb,94.20,,
w-sla,cs_pdt,94.23,,
w-sla,cs_fictree,0.0,,
w-sla,hsb_ufal,0.0,,
